
="",="(1)",="(2)",="(3)",="(4)"
="",="female_lfp_census",="pct_female_employer",="pct_female_managers_priv",="pct_female_leaders"

="corruption3_full",="-0.091",="-0.018***",="-0.017*",="-0.035***"
="",="(0.074)",="(0.005)",="(0.009)",="(0.012)"

="log_gdppc",="0.033***",="-0.000",="0.002*",="0.001"
="",="(0.007)",="(0.001)",="(0.001)",="(0.001)"

="log_density",="0.002",="-0.000",="0.000",="0.000"
="",="(0.004)",="(0.000)",="(0.001)",="(0.001)"

="size_informal",="0.061",="0.002",="-0.002",="-0.000"
="",="(0.061)",="(0.004)",="(0.005)",="(0.006)"

="college",="0.907***",="0.062***",="0.099***",="0.161***"
="",="(0.115)",="(0.011)",="(0.023)",="(0.029)"

="workage",="0.632***",="0.020",="-0.006",="0.014"
="",="(0.162)",="(0.016)",="(0.017)",="(0.026)"

="male",="0.272",="-0.030",="0.045",="0.015"
="",="(0.319)",="(0.030)",="(0.037)",="(0.055)"

="urban",="0.049",="0.005**",="0.016***",="0.021***"
="",="(0.054)",="(0.003)",="(0.003)",="(0.005)"

="N",="935",="935",="935",="935"
="adj. R-sq",="0.697",="0.234",="0.194",="0.274"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
