
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="share_female_lf",="share_female_self",="share_female_employer",="share_female_manager",="share_female_leaders"

="corruption3_full",="0.009",="-0.099*",="-0.324**",="-0.257***",="-0.242***"
="",="(0.027)",="(0.051)",="(0.132)",="(0.081)",="(0.074)"

="log_gdppc",="-0.025***",="0.001",="-0.023",="-0.011",="-0.011"
="",="(0.005)",="(0.007)",="(0.017)",="(0.008)",="(0.007)"

="population",="-0.000",="0.000***",="-0.000",="-0.000",="-0.000"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="density",="0.000**",="0.000",="0.000",="0.000",="0.000*"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="size_informal",="-0.048",="-0.113***",="-0.079",="0.040",="-0.012"
="",="(0.031)",="(0.033)",="(0.087)",="(0.055)",="(0.049)"

="college",="0.680***",="0.020",="0.589**",="0.799***",="0.674***"
="",="(0.085)",="(0.101)",="(0.218)",="(0.278)",="(0.224)"

="dist_capital",="-0.000",="0.000",="0.000",="0.000",="0.000"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="N",="935",="935",="878",="934",="934"
="adj. R-sq",="0.284",="0.271",="0.022",="0.060",="0.065"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
