
="",="(1)",="(2)",="(3)"
="",="share_female_employer",="share_female_manager_priv",="share_female_leaders"

="corruption3_full",="-0.303**",="-0.198**",="-0.172**"
="",="(0.140)",="(0.083)",="(0.076)"

="log_gdppc",="-0.017",="-0.007",="-0.015"
="",="(0.017)",="(0.010)",="(0.009)"

="log_density",="0.001",="0.003",="0.002"
="",="(0.007)",="(0.008)",="(0.007)"

="size_informal",="-0.055",="0.072",="-0.011"
="",="(0.093)",="(0.067)",="(0.064)"

="college",="0.379",="0.688**",="0.552**"
="",="(0.336)",="(0.321)",="(0.259)"

="workage",="-0.181",="-0.363",="-0.286"
="",="(0.382)",="(0.226)",="(0.208)"

="male",="-0.722",="-0.227",="-0.443"
="",="(0.573)",="(0.535)",="(0.486)"

="urban",="0.031",="0.048",="0.043"
="",="(0.069)",="(0.037)",="(0.035)"

="N",="878",="930",="933"
="adj. R-sq",="0.023",="0.048",="0.058"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
