
="",="(1)",="(2)",="(3)"
="",="share_female_employer",="share_female_manager_priv",="share_female_leaders"

="corruption3_full",="-0.143",="-0.159",="-0.132"
="",="(0.131)",="(0.093)",="(0.083)"

="log_gdppc",="-0.024",="-0.008",="-0.019*"
="",="(0.016)",="(0.014)",="(0.011)"

="log_density",="-0.004",="0.001",="-0.001"
="",="(0.008)",="(0.008)",="(0.007)"

="size_informal",="-0.060",="0.089",="0.002"
="",="(0.096)",="(0.066)",="(0.064)"

="college",="0.463",="0.611",="0.487*"
="",="(0.312)",="(0.362)",="(0.266)"

="workage",="-0.442",="-0.298",="-0.209"
="",="(0.421)",="(0.238)",="(0.234)"

="male",="-0.574",="-0.208",="-0.544"
="",="(0.622)",="(0.554)",="(0.509)"

="urban",="0.002",="0.028",="0.031"
="",="(0.077)",="(0.045)",="(0.041)"

="N",="878",="930",="933"
="adj. R-sq",="0.037",="0.044",="0.062"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
