
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="female_lfp",="pct_female_self",="pct_female_employer",="pct_female_managers",="pct_female_leaders",="pct_female_informal"

="corruption3_full",="-0.092",="-0.164**",="-0.007",="-0.006",="-0.013",="0.084"
="",="(0.056)",="(0.073)",="(0.006)",="(0.012)",="(0.015)",="(0.066)"

="log_gdppc",="0.034***",="0.003",="-0.000",="0.002**",="0.002",="-0.021***"
="",="(0.008)",="(0.010)",="(0.001)",="(0.001)",="(0.001)",="(0.005)"

="log_population",="0.000",="-0.001",="0.001***",="0.001",="0.002***",="-0.008"
="",="(0.004)",="(0.007)",="(0.000)",="(0.001)",="(0.001)",="(0.005)"

="log_density",="0.002",="0.018***",="-0.000",="-0.000",="-0.001",="-0.009**"
="",="(0.005)",="(0.005)",="(0.000)",="(0.001)",="(0.001)",="(0.004)"

="size_informal",="0.065",="0.224***",="0.002",="-0.001",="0.001",="0.348***"
="",="(0.063)",="(0.058)",="(0.004)",="(0.006)",="(0.007)",="(0.054)"

="college",="0.907***",="-0.521***",="0.050***",="0.096***",="0.146***",="-0.273***"
="",="(0.101)",="(0.156)",="(0.013)",="(0.026)",="(0.032)",="(0.095)"

="workage",="0.622***",="0.175",="0.024",="0.001",="0.025",="-0.059"
="",="(0.164)",="(0.234)",="(0.016)",="(0.020)",="(0.028)",="(0.211)"

="male",="0.278",="-0.109",="-0.026",="0.075",="0.049",="-0.283"
="",="(0.330)",="(0.293)",="(0.030)",="(0.045)",="(0.063)",="(0.209)"

="urban",="0.048",="-0.122",="0.005*",="0.016***",="0.021***",="0.148***"
="",="(0.054)",="(0.078)",="(0.002)",="(0.003)",="(0.005)",="(0.028)"

="N",="935",="935",="935",="935",="935",="935"
="adj. R-sq",="0.689",="0.446",="0.242",="0.176",="0.252",="0.625"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
