
="",="(1)",="(2)",="(3)",="(4)"
="",="female_lfp_census",="pct_female_employer",="pct_female_managers_priv",="pct_female_leaders"

="corruption3_full",="0.002",="-0.003",="0.001",="-0.002"
="",="(0.066)",="(0.005)",="(0.009)",="(0.012)"

="log_gdppc",="0.019***",="-0.000",="0.002",="0.002"
="",="(0.007)",="(0.001)",="(0.001)",="(0.001)"

="log_density",="-0.003",="-0.001",="-0.001",="-0.001"
="",="(0.003)",="(0.000)",="(0.000)",="(0.001)"

="size_informal",="0.047",="0.002",="0.001",="0.003"
="",="(0.056)",="(0.003)",="(0.005)",="(0.006)"

="college",="1.234***",="0.051***",="0.080***",="0.131***"
="",="(0.108)",="(0.014)",="(0.022)",="(0.027)"

="workage",="0.444***",="0.007",="-0.008",="-0.001"
="",="(0.111)",="(0.015)",="(0.017)",="(0.026)"

="male",="-0.046",="0.006",="0.105**",="0.112**"
="",="(0.349)",="(0.028)",="(0.038)",="(0.053)"

="urban",="0.064**",="-0.001",="0.006**",="0.005"
="",="(0.027)",="(0.002)",="(0.002)",="(0.004)"

="agriculture",="0.763**",="-0.018",="-0.182***",="-0.201**"
="",="(0.354)",="(0.053)",="(0.062)",="(0.094)"

="extractive",="0.561",="-0.029",="-0.144**",="-0.172"
="",="(0.366)",="(0.057)",="(0.068)",="(0.102)"

="manufacturing",="0.903**",="-0.009",="-0.176**",="-0.185*"
="",="(0.342)",="(0.055)",="(0.063)",="(0.099)"

="electric",="0.654*",="-0.043",="-0.222",="-0.265"
="",="(0.365)",="(0.061)",="(0.164)",="(0.202)"

="construction",="0.391",="-0.030",="-0.175**",="-0.205*"
="",="(0.382)",="(0.058)",="(0.066)",="(0.105)"

="rw",="0.854**",="0.025",="-0.122*",="-0.097"
="",="(0.356)",="(0.054)",="(0.066)",="(0.099)"

="transportation",="0.188",="-0.049",="-0.176**",="-0.226*"
="",="(0.361)",="(0.068)",="(0.073)",="(0.121)"

="accomodation",="0.908**",="0.052",="-0.065",="-0.013"
="",="(0.376)",="(0.070)",="(0.068)",="(0.101)"

="finance",="1.317*",="0.046",="-0.167",="-0.121"
="",="(0.735)",="(0.112)",="(0.101)",="(0.185)"

="profserv",="0.720*",="-0.000",="-0.212**",="-0.212*"
="",="(0.384)",="(0.062)",="(0.087)",="(0.121)"

="education",="0.321",="-0.052",="-0.189**",="-0.242**"
="",="(0.348)",="(0.055)",="(0.073)",="(0.107)"

="health",="0.655",="0.051",="-0.073",="-0.021"
="",="(0.410)",="(0.064)",="(0.059)",="(0.104)"

="publicadmin",="0.498",="-0.033",="-0.191***",="-0.224**"
="",="(0.348)",="(0.054)",="(0.063)",="(0.097)"

="dservices",="0.218",="-0.032",="-0.217***",="-0.249**"
="",="(0.364)",="(0.056)",="(0.064)",="(0.092)"

="N",="935",="935",="935",="935"
="adj. R-sq",="0.774",="0.290",="0.259",="0.355"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
